Scenario,Year,BA,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
historic,1981.0,SEC,0.40171692999999997,114.03,0.267,0.367
historic,1981.0,SOCO,78.42570662,15170.54,0.338,0.344
historic,1981.0,SPA,0.22944137,45.11,0.348,0.358
historic,1981.0,SRP,8.09911401,1919.11,0.256,0.258
historic,1981.0,SWPP,94.22609392,17846.18,0.345,0.351
historic,1981.0,TAL,0.80279316,173.56,0.266,0.287
historic,1981.0,TEC,6.18045613,1212.77,0.261,0.269
historic,1981.0,TEPC,3.83354352,851.54,0.254,0.251
historic,1981.0,TIDC,1.13761527,256.75,0.398,0.405
historic,1981.0,TPWR,2.9394381800000002,530.09,0.541,0.551
historic,1981.0,TVA,82.82684568,17076.22,0.485,0.524
historic,1981.0,WACM,8.3845706,1296.23,0.306,0.307
historic,1981.0,WALC,3.2812899900000003,599.77,0.339,0.347
historic,1981.0,WAUW,0.38851499,71.9,0.509,0.518
historic,1982.0,AEC,1.83133694,648.8,0.383,0.634
historic,1982.0,AECI,8.204720009999999,2319.54,0.387,0.429
historic,1982.0,AVA,7.1966798,1493.81,0.546,0.612
historic,1982.0,AZPS,9.29088039,2193.06,0.282,0.28
historic,1982.0,BANC,8.08340263,1884.34,0.436,0.428
historic,1982.0,BPAT,33.63346713,6706.71,0.556,0.618
historic,1982.0,CHPD,1.1853733,323.96,0.587,0.663
historic,1982.0,CISO,107.30908776999999,21059.59,0.435,0.439
historic,1982.0,CPLE,23.851326620000002,5932.31,0.4,0.485
historic,1982.0,DOPD,1.0320627199999999,241.06,0.575,0.639
historic,1982.0,DUK,41.92358199,9264.3,0.399,0.476
historic,1982.0,EPE,2.8709943900000003,618.18,0.353,0.343
historic,1982.0,ERCO,119.62230446,23881.47,0.363,0.362
historic,1982.0,FMPP,5.85180857,1189.37,0.296,0.312
historic,1982.0,FPC,17.36739695,4157.19,0.294,0.342
historic,1982.0,FPL,40.44562604,7462.3,0.295,0.288
historic,1982.0,GCPD,3.2512327799999996,528.39,0.57,0.586
historic,1982.0,GVL,0.63782582,142.57,0.294,0.311
historic,1982.0,HST,0.18011537,32.76,0.294,0.298
historic,1982.0,IID,1.65395822,457.37,0.432,0.424
historic,1982.0,IPCO,8.09332111,1608.15,0.469,0.442
historic,1982.0,ISNE,70.82263669,14008.31,0.494,0.506
historic,1982.0,JEA,4.1987112,1172.7,0.296,0.418
historic,1982.0,LDWP,13.388765359999999,2982.94,0.44,0.446
historic,1982.0,LGEE,18.864661899999998,4046.69,0.602,0.648
historic,1982.0,MISO,295.47265996,50561.49,0.437,0.425
historic,1982.0,NEVP,11.046678349999999,2358.34,0.266,0.261
historic,1982.0,NSB,0.13335331,37.02,0.294,0.372
historic,1982.0,NWMT,5.77886329,932.37,0.602,0.611
historic,1982.0,NYIS,81.53304342,15512.06,0.495,0.496
historic,1982.0,PACE,18.0549142,3107.86,0.339,0.34
historic,1982.0,PACW,11.02574708,2111.42,0.496,0.566
historic,1982.0,PGE,11.32139198,2066.67,0.526,0.537
historic,1982.0,PJM,430.6437464,81435.08,0.512,0.479
historic,1982.0,PNM,4.90550279,853.09,0.328,0.313
historic,1982.0,PSCO,13.48554721,2427.63,0.312,0.293
historic,1982.0,PSEI,19.201938469999998,3655.94,0.581,0.635
historic,1982.0,SC,10.63244863,2647.63,0.397,0.529
historic,1982.0,SCEG,10.96149342,2558.06,0.395,0.489
historic,1982.0,SCL,6.32601761,1197.0,0.582,0.649
historic,1982.0,SEC,0.44824088,134.55,0.298,0.433
historic,1982.0,SOCO,85.95042083,20900.58,0.37,0.475
historic,1982.0,SPA,0.25341854,49.88,0.384,0.396
historic,1982.0,SRP,8.949834189999999,2109.05,0.283,0.283
historic,1982.0,SWPP,103.31920053,19032.44,0.378,0.374
historic,1982.0,TAL,0.89466782,241.41,0.297,0.399
historic,1982.0,TEC,7.023303019999999,1399.38,0.296,0.31
historic,1982.0,TEPC,4.26012156,962.63,0.282,0.283
historic,1982.0,TIDC,1.2420326000000002,274.74,0.435,0.433
historic,1982.0,TPWR,3.1772058700000003,622.54,0.585,0.647
historic,1982.0,TVA,87.65281873,20682.1,0.513,0.635
historic,1982.0,WACM,9.32946153,1407.55,0.34,0.333
historic,1982.0,WALC,3.61670119,623.44,0.374,0.361
historic,1982.0,WAUW,0.43076494,80.86,0.564,0.583
historic,1983.0,AEC,1.98168901,502.45,0.414,0.491
historic,1983.0,AECI,9.07945257,2405.08,0.428,0.444
historic,1983.0,AVA,7.68885796,1480.18,0.583,0.607
historic,1983.0,AZPS,10.2557794,2365.48,0.312,0.302
historic,1983.0,BANC,8.765313279999999,2128.54,0.473,0.483
historic,1983.0,BPAT,36.09171298,7333.43,0.597,0.675
historic,1983.0,CHPD,1.25708224,310.75,0.622,0.636
historic,1983.0,CISO,116.99135501,23943.74,0.475,0.5
historic,1983.0,CPLE,25.955686370000002,5389.23,0.435,0.441
historic,1983.0,DOPD,1.09807352,254.67,0.611,0.675
historic,1983.0,DUK,45.604190409999994,8921.48,0.434,0.458
historic,1983.0,EPE,3.15719221,674.23,0.389,0.374
historic,1983.0,ERCO,129.49138331999998,25677.63,0.393,0.389
historic,1983.0,FMPP,6.546439889999999,1266.43,0.331,0.332
historic,1983.0,FPC,19.45749178,4040.96,0.33,0.333
historic,1983.0,FPL,44.945619640000004,8655.36,0.328,0.334
historic,1983.0,GCPD,3.5149477599999996,564.06,0.616,0.625
historic,1983.0,GVL,0.72108854,153.15,0.332,0.334
historic,1983.0,HST,0.19879759,37.06,0.324,0.337
historic,1983.0,IID,1.8253888200000001,500.02,0.477,0.464
historic,1983.0,IPCO,8.72962604,1810.8,0.505,0.498
historic,1983.0,ISNE,77.67072333,14400.76,0.542,0.52
historic,1983.0,JEA,4.7857544,960.65,0.337,0.343
historic,1983.0,LDWP,14.678634839999999,3376.22,0.483,0.505
historic,1983.0,LGEE,19.874714570000002,3900.29,0.634,0.625
historic,1983.0,MISO,319.08586683,56841.36,0.472,0.478
historic,1983.0,NEVP,12.17269023,2598.04,0.293,0.288
historic,1983.0,NSB,0.15097623000000002,34.49,0.333,0.347
historic,1983.0,NWMT,6.09863467,1024.79,0.636,0.672
historic,1983.0,NYIS,88.70475589,16546.2,0.539,0.529
historic,1983.0,PACE,19.72237918,3394.82,0.37,0.371
historic,1983.0,PACW,11.899786429999999,2221.49,0.535,0.596
historic,1983.0,PGE,12.2074493,2422.65,0.567,0.629
historic,1983.0,PJM,462.20867676999995,91786.53,0.549,0.54
historic,1983.0,PNM,5.40877584,920.25,0.361,0.338
historic,1983.0,PSCO,14.926404300000002,2689.8,0.345,0.325
historic,1983.0,PSEI,20.66481422,3959.81,0.626,0.688
historic,1983.0,SC,11.583122269999999,2324.38,0.433,0.465
historic,1983.0,SCEG,11.907527960000001,2382.54,0.429,0.455
historic,1983.0,SCL,6.8056841299999995,1239.25,0.626,0.672
historic,1983.0,SEC,0.50986091,123.02,0.339,0.396
historic,1983.0,SOCO,93.70542813,18100.0,0.403,0.411
historic,1983.0,SPA,0.27522019,52.22,0.417,0.414
historic,1983.0,SRP,9.88221897,2325.19,0.313,0.312
historic,1983.0,SWPP,113.56333717,21967.13,0.415,0.432
historic,1983.0,TAL,1.0024978100000002,203.31,0.332,0.336
historic,1983.0,TEC,7.77914617,1517.08,0.328,0.336
historic,1983.0,TEPC,4.6443233799999994,1085.75,0.308,0.32
historic,1983.0,TIDC,1.34208233,301.6,0.47,0.475
historic,1983.0,TPWR,3.4115813399999997,693.06,0.628,0.72
historic,1983.0,TVA,92.68270498000001,20468.71,0.543,0.628
historic,1983.0,WACM,10.21468525,1650.36,0.372,0.391
historic,1983.0,WALC,3.87618269,682.41,0.401,0.395
historic,1983.0,WAUW,0.45614253000000005,87.65,0.597,0.632
historic,1984.0,AEC,2.1345931,517.9,0.446,0.506
historic,1984.0,AECI,9.746248900000001,2352.23,0.459,0.435
historic,1984.0,AVA,8.30745443,1549.48,0.63,0.635
historic,1984.0,AZPS,11.196273300000001,2559.86,0.34,0.327
historic,1984.0,BANC,9.61583581,2436.02,0.519,0.553
historic,1984.0,BPAT,38.7016457,7120.04,0.64,0.656
historic,1984.0,CHPD,1.3557400800000001,346.22,0.671,0.709
historic,1984.0,CISO,126.36284731999999,25797.23,0.513,0.538
historic,1984.0,CPLE,28.01326354,5983.5,0.469,0.489
historic,1984.0,DOPD,1.1832473899999998,258.08,0.659,0.684
historic,1984.0,DUK,49.189541590000005,9639.01,0.468,0.495
historic,1984.0,EPE,3.37342532,726.8,0.415,0.403
historic,1984.0,ERCO,140.59228969999998,27546.47,0.427,0.417
historic,1984.0,FMPP,7.21192313,1384.71,0.365,0.363
historic,1984.0,FPC,21.4824782,4332.5,0.364,0.357
historic,1984.0,FPL,49.63869576,9394.43,0.362,0.362
historic,1984.0,GCPD,3.75250356,616.78,0.658,0.683
historic,1984.0,GVL,0.79572438,165.86,0.366,0.362
historic,1984.0,HST,0.21894306,40.42,0.357,0.367
historic,1984.0,IID,1.9873903700000002,552.8,0.519,0.513
historic,1984.0,IPCO,9.39545893,1872.55,0.544,0.515
historic,1984.0,ISNE,84.52232728,15156.45,0.59,0.547
historic,1984.0,JEA,5.275415809999999,1057.09,0.372,0.377
historic,1984.0,LDWP,15.94799344,3723.97,0.525,0.557
historic,1984.0,LGEE,20.76529739,4463.31,0.662,0.715
historic,1984.0,MISO,342.50134787,57793.35,0.507,0.486
historic,1984.0,NEVP,13.344777259999999,2892.48,0.321,0.321
historic,1984.0,NSB,0.16562570999999998,36.27,0.365,0.365
historic,1984.0,NWMT,6.50787588,1026.62,0.678,0.673
historic,1984.0,NYIS,95.80476444,17284.74,0.582,0.552
historic,1984.0,PACE,21.36726668,3519.63,0.401,0.385
historic,1984.0,PACW,12.735858890000001,2179.53,0.573,0.585
historic,1984.0,PGE,13.04511719,2381.94,0.606,0.619
historic,1984.0,PJM,494.45997586,94982.14,0.588,0.558
historic,1984.0,PNM,5.93588549,1002.73,0.396,0.368
historic,1984.0,PSCO,16.33100792,2907.96,0.377,0.352
historic,1984.0,PSEI,22.04077582,3935.6,0.667,0.684
historic,1984.0,SC,12.5081398,2467.82,0.467,0.493
historic,1984.0,SCEG,12.8890675,2462.71,0.465,0.471
historic,1984.0,SCL,7.276637269999999,1273.84,0.67,0.69
historic,1984.0,SEC,0.5552884499999999,113.53,0.369,0.365
historic,1984.0,SOCO,101.49057703,18978.29,0.437,0.431
historic,1984.0,SPA,0.298069,57.05,0.452,0.453
historic,1984.0,SRP,10.77738587,2536.46,0.341,0.341
historic,1984.0,SWPP,122.63400289,23206.97,0.449,0.456
historic,1984.0,TAL,1.11465982,218.66,0.37,0.361
historic,1984.0,TEC,8.623413150000001,1646.54,0.364,0.365
historic,1984.0,TEPC,5.02798674,1096.5,0.333,0.323
historic,1984.0,TIDC,1.4732149399999999,348.45,0.516,0.549
historic,1984.0,TPWR,3.65642119,668.47,0.673,0.694
historic,1984.0,TVA,97.45982008,20693.13,0.571,0.635
historic,1984.0,WACM,11.14332951,1652.56,0.406,0.391
historic,1984.0,WALC,4.241462019999999,761.75,0.438,0.441
historic,1984.0,WAUW,0.48078352,85.41,0.63,0.616
historic,1985.0,AEC,2.2988091,834.89,0.48,0.816
historic,1985.0,AECI,10.71158056,2842.62,0.505,0.525
historic,1985.0,AVA,8.892905359999999,1723.74,0.675,0.706
historic,1985.0,AZPS,12.0897931,2865.77,0.367,0.366
historic,1985.0,BANC,10.3587516,2585.03,0.559,0.587
historic,1985.0,BPAT,41.30538772,7680.89,0.683,0.707
historic,1985.0,CHPD,1.45711313,353.45,0.722,0.724
historic,1985.0,CISO,135.95465966999998,28541.86,0.552,0.595
historic,1985.0,CPLE,30.19973854,8334.42,0.506,0.681
historic,1985.0,DOPD,1.28339233,263.02,0.715,0.697
historic,1985.0,DUK,52.74830028,12522.53,0.502,0.643
historic,1985.0,EPE,3.63450104,802.49,0.447,0.445
historic,1985.0,ERCO,151.54809125999998,29291.14,0.46,0.444
historic,1985.0,FMPP,7.906891900000001,1800.53,0.4,0.472
historic,1985.0,FPC,23.677711780000003,6476.91,0.401,0.533
historic,1985.0,FPL,54.151555630000004,10429.45,0.395,0.402
historic,1985.0,GCPD,4.02114381,651.63,0.705,0.722
historic,1985.0,GVL,0.87993936,231.92,0.405,0.506
historic,1985.0,HST,0.23676574,43.51,0.386,0.395
historic,1985.0,IID,2.12442209,623.09,0.555,0.578
historic,1985.0,IPCO,10.07730683,2054.25,0.583,0.565
historic,1985.0,ISNE,91.33682534,17229.52,0.637,0.622
historic,1985.0,JEA,5.81298082,1919.3,0.41,0.684
historic,1985.0,LDWP,16.95419982,3842.35,0.558,0.574
historic,1985.0,LGEE,21.79375149,5079.91,0.695,0.814
historic,1985.0,MISO,365.33656481,61750.23,0.541,0.519
historic,1985.0,NEVP,14.572623929999999,3276.24,0.35,0.363
historic,1985.0,NSB,0.18414002,59.46,0.406,0.598
historic,1985.0,NWMT,6.85290393,1086.14,0.714,0.712
historic,1985.0,NYIS,102.88622457,19274.65,0.625,0.616
historic,1985.0,PACE,22.898538629999997,3879.07,0.43,0.424
historic,1985.0,PACW,13.60898167,2457.47,0.612,0.659
historic,1985.0,PGE,13.93386207,2708.37,0.647,0.703
historic,1985.0,PJM,526.04605135,101580.51,0.625,0.597
historic,1985.0,PNM,6.42572216,1143.61,0.429,0.42
historic,1985.0,PSCO,17.74328698,3223.66,0.41,0.39
historic,1985.0,PSEI,23.449382789999998,4341.86,0.71,0.755
historic,1985.0,SC,13.44373851,3587.18,0.502,0.717
historic,1985.0,SCEG,13.87549144,3420.5,0.5,0.654
historic,1985.0,SCL,7.707896799999999,1386.64,0.709,0.751
historic,1985.0,SEC,0.6188945,200.18,0.412,0.644
historic,1985.0,SOCO,109.02090679000001,27700.61,0.469,0.629
historic,1985.0,SPA,0.32499283,65.22,0.493,0.518
historic,1985.0,SRP,11.65153402,2810.14,0.369,0.377
historic,1985.0,SWPP,132.29173613,24084.6,0.484,0.473
historic,1985.0,TAL,1.22604466,372.94,0.407,0.616
historic,1985.0,TEC,9.43688669,2047.39,0.398,0.454
historic,1985.0,TEPC,5.525143730000001,1257.53,0.366,0.37
historic,1985.0,TIDC,1.59261397,369.84,0.558,0.583
historic,1985.0,TPWR,3.8815539300000004,735.35,0.715,0.764
historic,1985.0,TVA,102.84422409,26009.41,0.602,0.798
historic,1985.0,WACM,12.042010150000001,1885.39,0.439,0.446
historic,1985.0,WALC,4.6648745400000005,859.48,0.482,0.498
historic,1985.0,WAUW,0.51088712,91.52,0.669,0.66
historic,1986.0,AEC,2.4220615299999997,668.22,0.506,0.653
historic,1986.0,AECI,11.21545871,2664.66,0.528,0.492
historic,1986.0,AVA,9.38432365,1666.41,0.712,0.683
historic,1986.0,AZPS,13.016911449999998,3075.67,0.395,0.393
historic,1986.0,BANC,10.970068320000001,2487.63,0.592,0.565
historic,1986.0,BPAT,43.5707245,7578.37,0.721,0.698
historic,1986.0,CHPD,1.5158390400000001,364.05,0.751,0.745
historic,1986.0,CISO,145.77649182,28582.93,0.591,0.596
historic,1986.0,CPLE,32.15979646,7217.62,0.539,0.59
historic,1986.0,DOPD,1.33836416,282.32,0.745,0.748
historic,1986.0,DUK,56.59863524,11920.77,0.538,0.612
historic,1986.0,EPE,3.928936,879.3,0.484,0.488
historic,1986.0,ERCO,161.4743231,33267.75,0.49,0.504
historic,1986.0,FMPP,8.57480348,1808.0,0.433,0.474
historic,1986.0,FPC,25.507890370000002,6011.47,0.432,0.495
historic,1986.0,FPL,59.16737753,11073.66,0.432,0.427
historic,1986.0,GCPD,4.29721459,682.22,0.754,0.756
historic,1986.0,GVL,0.9483980799999999,214.0,0.437,0.467
historic,1986.0,HST,0.26215852,47.7,0.427,0.433
historic,1986.0,IID,2.2876737599999997,607.94,0.597,0.564
historic,1986.0,IPCO,10.625087,2130.62,0.615,0.586
historic,1986.0,ISNE,98.16926576,19046.61,0.685,0.688
historic,1986.0,JEA,6.22442638,1709.47,0.439,0.61
historic,1986.0,LDWP,18.11513239,4112.5,0.596,0.615
historic,1986.0,LGEE,22.64309417,4384.86,0.722,0.702
historic,1986.0,MISO,390.23086187,68248.71,0.578,0.574
historic,1986.0,NEVP,15.73109797,3354.57,0.378,0.372
historic,1986.0,NSB,0.19687082,57.18,0.434,0.575
historic,1986.0,NWMT,7.224131610000001,1110.36,0.753,0.728
historic,1986.0,NYIS,110.01580695,21362.52,0.668,0.682
historic,1986.0,PACE,24.68377249,4145.33,0.464,0.453
historic,1986.0,PACW,14.47972794,2319.45,0.651,0.622
historic,1986.0,PGE,14.90925686,2749.74,0.693,0.714
historic,1986.0,PJM,557.96647478,109555.92,0.663,0.644
historic,1986.0,PNM,6.94411469,1237.01,0.464,0.454
historic,1986.0,PSCO,19.13608481,3508.23,0.442,0.424
historic,1986.0,PSEI,25.00370964,4448.87,0.757,0.773
historic,1986.0,SC,14.36180098,3341.27,0.536,0.668
historic,1986.0,SCEG,14.83139843,3228.59,0.535,0.617
historic,1986.0,SCL,8.25506973,1425.45,0.76,0.772
historic,1986.0,SEC,0.6627250600000001,186.77,0.441,0.6
historic,1986.0,SOCO,116.87805989,23867.87,0.503,0.542
historic,1986.0,SPA,0.34454390999999995,65.32,0.522,0.518
historic,1986.0,SRP,12.54578508,3027.01,0.397,0.407
historic,1986.0,SWPP,141.62015596,28355.65,0.518,0.557
historic,1986.0,TAL,1.3212749,325.73,0.438,0.538
historic,1986.0,TEC,10.26081843,1997.89,0.433,0.443
historic,1986.0,TEPC,5.93480225,1331.31,0.393,0.392
historic,1986.0,TIDC,1.6967504,371.33,0.594,0.585
historic,1986.0,TPWR,4.12020446,736.36,0.759,0.765
historic,1986.0,TVA,107.44531595999999,22628.12,0.629,0.694
historic,1986.0,WACM,12.96747917,2003.26,0.473,0.474
historic,1986.0,WALC,4.95829332,861.12,0.513,0.498
historic,1986.0,WAUW,0.53052551,94.08,0.695,0.678
historic,1987.0,AEC,2.55964848,599.47,0.535,0.586
historic,1987.0,AECI,12.02011307,2473.42,0.566,0.457
historic,1987.0,AVA,9.848331949999999,1834.59,0.747,0.752
historic,1987.0,AZPS,13.92310464,3083.12,0.423,0.394
historic,1987.0,BANC,11.81875941,2777.26,0.638,0.631
historic,1987.0,BPAT,46.07020295,8469.02,0.762,0.78
historic,1987.0,CHPD,1.6021911299999998,405.89,0.793,0.831
historic,1987.0,CISO,155.18403393,29852.57,0.63,0.623
historic,1987.0,CPLE,34.36145125,7355.88,0.576,0.601
historic,1987.0,DOPD,1.4183426399999999,294.5,0.79,0.781
historic,1987.0,DUK,60.25809648,11868.66,0.573,0.61
historic,1987.0,EPE,4.22539937,919.88,0.52,0.51
historic,1987.0,ERCO,171.63557206000002,33926.42,0.521,0.514
historic,1987.0,FMPP,9.275636380000002,1809.13,0.469,0.474
historic,1987.0,FPC,27.55776571,5776.89,0.467,0.476
historic,1987.0,FPL,63.810594869999996,12326.23,0.466,0.475
historic,1987.0,GCPD,4.56624883,747.11,0.801,0.828
historic,1987.0,GVL,1.01911218,219.57,0.469,0.479
historic,1987.0,HST,0.28153177,52.56,0.459,0.478
historic,1987.0,IID,2.4204323,605.42,0.632,0.562
historic,1987.0,IPCO,11.30312386,2267.42,0.654,0.623
historic,1987.0,ISNE,105.01762145000001,19915.06,0.733,0.719
historic,1987.0,JEA,6.751498059999999,1363.1,0.476,0.486
historic,1987.0,LDWP,19.354544989999997,4047.91,0.637,0.605
historic,1987.0,LGEE,23.50787717,4568.16,0.75,0.732
historic,1987.0,MISO,413.55286005,72646.49,0.612,0.611
historic,1987.0,NEVP,16.90370066,3574.25,0.406,0.396
historic,1987.0,NSB,0.21328989,48.37,0.471,0.486
historic,1987.0,NWMT,7.56825348,1180.06,0.789,0.774
historic,1987.0,NYIS,117.16095968,22244.79,0.712,0.711
historic,1987.0,PACE,26.30040841,4295.14,0.494,0.47
historic,1987.0,PACW,15.40243119,2762.21,0.693,0.741
historic,1987.0,PGE,15.78195924,2946.48,0.733,0.765
historic,1987.0,PJM,590.30912281,118155.3,0.702,0.695
historic,1987.0,PNM,7.469108650000001,1262.74,0.499,0.464
historic,1987.0,PSCO,20.57553126,3799.87,0.476,0.459
historic,1987.0,PSEI,26.45449399,4698.02,0.801,0.816
historic,1987.0,SC,15.305043289999999,2967.6,0.572,0.593
historic,1987.0,SCEG,15.697152460000002,3039.3,0.566,0.581
historic,1987.0,SCL,8.73487969,1524.72,0.804,0.826
historic,1987.0,SEC,0.71255463,144.73,0.474,0.465
historic,1987.0,SOCO,124.62994422,23122.95,0.536,0.525
historic,1987.0,SPA,0.36796151,65.56,0.558,0.52
historic,1987.0,SRP,13.458419289999998,2977.48,0.426,0.4
historic,1987.0,SWPP,151.49775249,30383.7,0.554,0.597
historic,1987.0,TAL,1.42194439,293.88,0.471,0.486
historic,1987.0,TEC,11.031929029999999,2202.43,0.465,0.488
historic,1987.0,TEPC,6.3907866900000005,1373.07,0.423,0.404
historic,1987.0,TIDC,1.8199090800000002,415.89,0.637,0.656
historic,1987.0,TPWR,4.349548,795.07,0.801,0.826
historic,1987.0,TVA,112.19424826000001,21008.64,0.657,0.645
historic,1987.0,WACM,13.86544825,2170.95,0.505,0.514
historic,1987.0,WALC,5.33587234,913.21,0.552,0.529
historic,1987.0,WAUW,0.55176411,105.91,0.723,0.763
historic,1988.0,AEC,2.72851746,643.13,0.57,0.629
historic,1988.0,AECI,12.909159279999999,2899.97,0.608,0.536
historic,1988.0,AVA,10.40670076,1897.83,0.79,0.778
historic,1988.0,AZPS,14.877281980000001,3413.6,0.452,0.436
historic,1988.0,BANC,12.57251241,3333.25,0.679,0.757
